image,row,col,x_px,y_px
left08.jpg,3,0,354.587769,80.537949
left08.jpg,3,1,344.948730,112.256630
left08.jpg,3,2,335.132141,145.788834
left08.jpg,3,3,324.365448,182.307068
left08.jpg,3,4,313.226257,220.970032
left08.jpg,3,5,301.047852,262.037689
left08.jpg,3,6,289.162476,304.805664
left08.jpg,3,7,276.867004,349.240936
left08.jpg,3,8,264.750824,394.361542
left08.jpg,4,0,318.244019,77.744965
left08.jpg,4,1,307.724701,108.382828
left08.jpg,4,2,296.481476,141.697052
left08.jpg,4,3,285.181152,177.086639
left08.jpg,4,4,273.308075,214.452454
left08.jpg,4,5,260.599640,254.461838
left08.jpg,4,6,247.947876,295.751251
left08.jpg,4,7,235.357101,338.762909
left08.jpg,4,8,223.071045,382.374847
left08.jpg,5,0,283.811798,75.468094
left08.jpg,5,1,272.397095,105.498001
left08.jpg,5,2,260.638702,137.682861
left08.jpg,5,3,248.328110,172.183014
left08.jpg,5,4,235.748993,208.509109
left08.jpg,5,5,223.045273,246.698914
left08.jpg,5,6,209.906067,287.191345
left08.jpg,5,7,197.026474,328.543182
left08.jpg,5,8,184.594421,370.788788
left09.jpg,0,0,219.095093,85.662674
left09.jpg,0,1,263.203308,93.233421
left09.jpg,0,2,305.200439,100.854149
left09.jpg,0,3,344.795624,108.543655
left09.jpg,0,4,381.714844,116.206848
left09.jpg,0,5,416.177307,123.527367
left09.jpg,0,6,448.024323,130.761993
left09.jpg,0,7,477.809357,137.715820
left09.jpg,0,8,505.725403,144.326019
left09.jpg,1,0,211.880661,131.070023
left09.jpg,1,1,256.054596,137.404221
left09.jpg,1,2,298.008942,143.860809
left09.jpg,1,3,337.642792,150.292358
left09.jpg,1,4,374.617950,156.503738
left09.jpg,1,5,409.222687,162.525665
left09.jpg,1,6,441.333740,168.377182
left09.jpg,1,7,470.980194,173.905441
left09.jpg,1,8,498.418732,179.318115
left09.jpg,2,0,205.429337,176.322403
left09.jpg,2,1,249.262680,181.594330
left09.jpg,2,2,291.138153,186.750214
left09.jpg,2,3,330.559174,191.790115
left09.jpg,2,4,367.643860,196.674576
left09.jpg,2,5,402.086060,201.318054
left09.jpg,2,6,434.297272,205.658600
left09.jpg,2,7,464.176880,209.865082
left09.jpg,2,8,492.855988,213.883606
left09.jpg,3,0,199.352798,220.815491
left09.jpg,3,1,242.859985,224.946198
left09.jpg,3,2,284.470184,228.959091
left09.jpg,3,3,323.743683,232.610535
left09.jpg,3,4,360.421692,236.069046
left09.jpg,3,5,394.825562,239.492065
left09.jpg,3,6,427.124268,242.484879
left09.jpg,3,7,456.777710,245.526855
left09.jpg,3,8,484.376740,248.117630
left09.jpg,4,0,194.339050,264.192139
left09.jpg,4,1,237.049683,267.389282
left09.jpg,4,2,278.182770,270.050903
left09.jpg,4,3,316.984863,272.535431
left09.jpg,4,4,353.448456,274.723755
left09.jpg,4,5,387.677582,276.723999
left09.jpg,4,6,419.809937,278.537415
left09.jpg,4,7,449.513458,280.199005
left09.jpg,4,8,478.415771,281.538971
left09.jpg,5,0,189.769958,305.778229
left09.jpg,5,1,231.925018,307.922272
left09.jpg,5,2,272.287598,309.549194
left09.jpg,5,3,310.443756,310.798401
left09.jpg,5,4,346.561279,311.942749
left09.jpg,5,5,380.470123,312.766418
left09.jpg,5,6,412.148163,313.451752
left09.jpg,5,7,441.846375,313.913788
left09.jpg,5,8,469.336548,314.070740
left11.jpg,0,0,413.747681,65.917854
left11.jpg,0,1,420.047272,103.081520
left11.jpg,0,2,426.242218,140.661316
left11.jpg,0,3,432.205505,178.614227
left11.jpg,0,4,437.745544,216.177780
left11.jpg,0,5,443.028503,253.351700
left11.jpg,0,6,447.704773,289.781769
left11.jpg,0,7,452.199585,325.422180
left11.jpg,0,8,455.836823,359.586365
left11.jpg,1,0,384.929443,65.489883
left11.jpg,1,1,391.558746,104.232658
left11.jpg,1,2,397.877869,143.754562
left11.jpg,1,3,404.062286,183.339340
left11.jpg,1,4,409.971924,222.792679
left11.jpg,1,5,415.650208,261.532532
left11.jpg,1,6,420.911621,299.625610
left11.jpg,1,7,425.777466,336.766754
left11.jpg,1,8,430.373322,372.181610
left11.jpg,2,0,353.172455,65.294533
left11.jpg,2,1,359.909912,105.893654
left11.jpg,2,2,366.456177,147.263916
left11.jpg,2,3,373.044647,188.731964
left11.jpg,2,4,379.458893,229.966660
left11.jpg,2,5,385.580536,270.635498
left11.jpg,2,6,391.498108,310.341705
left11.jpg,2,7,397.050049,348.784882
left11.jpg,2,8,402.268097,385.492920
left11.jpg,3,0,318.207764,65.569435
left11.jpg,3,1,325.083954,108.041862
left11.jpg,3,2,332.094299,151.355392
left11.jpg,3,3,338.901001,194.794968
left11.jpg,3,4,345.804596,237.877487
left11.jpg,3,5,352.511017,280.321198
left11.jpg,3,6,359.213287,321.667542
left11.jpg,3,7,365.511780,361.666962
left11.jpg,3,8,371.555145,399.553864
left11.jpg,4,0,280.032349,66.259789
left11.jpg,4,1,286.861023,110.535927
left11.jpg,4,2,294.094116,156.060944
left11.jpg,4,3,301.339661,201.499771
left11.jpg,4,4,308.712311,246.613678
left11.jpg,4,5,316.162659,290.803650
left11.jpg,4,6,323.821136,333.981720
left11.jpg,4,7,331.110748,375.335327
left11.jpg,4,8,337.962646,414.400024
left11.jpg,5,0,238.340073,67.797234
left11.jpg,5,1,245.341248,113.965492
left11.jpg,5,2,252.626572,161.443069
left11.jpg,5,3,260.430511,209.002380
left11.jpg,5,4,268.537415,256.140381
left11.jpg,5,5,276.739594,302.201019
left11.jpg,5,6,285.172394,346.784515
left11.jpg,5,7,293.592590,389.555176
left11.jpg,5,8,301.720367,429.785736
left12.jpg,0,0,423.466736,70.892326
left12.jpg,0,1,427.182190,103.398582
left12.jpg,0,2,430.739014,138.503952
left12.jpg,0,3,434.343231,176.743118
left12.jpg,0,4,437.893555,218.076736
left12.jpg,0,5,441.378571,261.943970
left12.jpg,0,6,444.492310,308.591980
left12.jpg,0,7,447.222626,357.645599
left12.jpg,0,8,449.495514,407.982452
left12.jpg,1,0,383.911102,72.210159
left12.jpg,1,1,385.516235,104.339287
left12.jpg,1,2,387.674530,139.791901
left12.jpg,1,3,389.508148,178.264847
left12.jpg,1,4,391.492889,219.450974
left12.jpg,1,5,393.390564,263.529175
left12.jpg,1,6,395.264008,310.304688
left12.jpg,1,7,396.837250,359.573456
left12.jpg,1,8,398.420868,410.033264
left12.jpg,2,0,343.656708,73.608482
left12.jpg,2,1,344.043091,106.074089
left12.jpg,2,2,344.371887,141.341904
left12.jpg,2,3,344.591400,179.611908
left12.jpg,2,4,344.950104,220.598373
left12.jpg,2,5,345.386658,264.805786
left12.jpg,2,6,345.685547,311.620911
left12.jpg,2,7,346.370605,360.643677
left12.jpg,2,8,346.689362,411.226166
left12.jpg,3,0,304.185974,75.940582
left12.jpg,3,1,302.754761,108.177399
left12.jpg,3,2,301.416809,143.408691
left12.jpg,3,3,300.203094,181.502945
left12.jpg,3,4,298.968170,222.380463
left12.jpg,3,5,297.766998,266.106995
left12.jpg,3,6,296.916565,312.491211
left12.jpg,3,7,296.220642,361.285767
left12.jpg,3,8,295.464569,411.284760
left12.jpg,4,0,265.021667,78.552414
left12.jpg,4,1,262.172119,110.439667
left12.jpg,4,2,259.300812,145.651215
left12.jpg,4,3,256.634857,183.565125
left12.jpg,4,4,253.809311,224.125549
left12.jpg,4,5,251.356842,267.442169
left12.jpg,4,6,249.188202,313.121460
left12.jpg,4,7,247.242706,361.300415
left12.jpg,4,8,245.736343,410.322418
left12.jpg,5,0,227.372070,82.024803
left12.jpg,5,1,222.815964,113.478767
left12.jpg,5,2,218.902542,148.294861
left12.jpg,5,3,214.520477,185.755844
left12.jpg,5,4,210.723175,225.571899
left12.jpg,5,5,206.891876,268.317169
left12.jpg,5,6,203.467453,313.483368
left12.jpg,5,7,200.861893,360.392303
left12.jpg,5,8,198.553223,408.803925
left13.jpg,0,0,402.314026,72.308678
left13.jpg,0,1,414.141998,113.069344
left13.jpg,0,2,425.070953,152.033539
left13.jpg,0,3,435.063873,188.847183
left13.jpg,0,4,444.108459,223.221832
left13.jpg,0,5,452.411530,255.395004
left13.jpg,0,6,459.754425,285.361023
left13.jpg,0,7,466.572327,313.354065
left13.jpg,0,8,472.687927,338.913574
left13.jpg,1,0,359.875580,84.638809
left13.jpg,1,1,372.687012,124.822243
left13.jpg,1,2,384.692413,163.204697
left13.jpg,1,3,395.856201,199.320282
left13.jpg,1,4,406.158783,233.149124
left13.jpg,1,5,415.620270,264.707794
left13.jpg,1,6,424.352539,294.186157
left13.jpg,1,7,432.257385,321.656952
left13.jpg,1,8,439.483429,348.026093
left13.jpg,2,0,318.113464,97.417328
left13.jpg,2,1,331.885864,136.936783
left13.jpg,2,2,344.903900,174.396561
left13.jpg,2,3,357.278473,209.766174
left13.jpg,2,4,368.575439,242.933975
left13.jpg,2,5,379.390564,273.895599
left13.jpg,2,6,389.173553,302.770569
left13.jpg,2,7,398.341827,329.613220
left13.jpg,2,8,407.209778,355.244415
left13.jpg,3,0,277.632935,110.340668
left13.jpg,3,1,292.281097,148.712219
left13.jpg,3,2,306.247162,185.598022
left13.jpg,3,3,319.524109,219.975037
left13.jpg,3,4,331.913208,252.434372
left13.jpg,3,5,343.662842,282.584442
left13.jpg,3,6,354.662140,311.073059
left13.jpg,3,7,364.864319,337.296234
left13.jpg,3,8,374.471741,362.412292
left13.jpg,4,0,238.638763,123.188950
left13.jpg,4,1,253.889099,160.650558
left13.jpg,4,2,268.693512,196.436249
left13.jpg,4,3,282.853760,230.011765
left13.jpg,4,4,296.256042,261.475342
left13.jpg,4,5,308.887177,290.953125
left13.jpg,4,6,320.853394,318.869812
left13.jpg,4,7,332.151489,344.516022
left13.jpg,4,8,344.084625,371.196930
left13.jpg,5,0,201.762543,135.731277
left13.jpg,5,1,217.517365,172.256378
left13.jpg,5,2,233.056274,206.821854
left13.jpg,5,3,247.819031,239.514694
left13.jpg,5,4,261.917358,270.227570
left13.jpg,5,5,275.450684,298.934540
left13.jpg,5,6,288.345337,325.870514
left13.jpg,5,7,300.398926,351.024902
left13.jpg,5,8,312.073456,375.145996
left14.jpg,0,0,416.294098,57.344814
left14.jpg,0,1,421.863464,97.671875
left14.jpg,0,2,427.285828,138.130142
left14.jpg,0,3,432.283722,177.881363
left14.jpg,0,4,436.680115,216.690201
left14.jpg,0,5,440.842957,254.491028
left14.jpg,0,6,444.422394,290.703247
left14.jpg,0,7,447.860779,325.576416
left14.jpg,0,8,450.450867,358.197479
left14.jpg,1,0,380.864441,60.198780
left14.jpg,1,1,387.015747,102.234177
left14.jpg,1,2,392.793915,144.085754
left14.jpg,1,3,398.230957,185.230606
left14.jpg,1,4,403.403503,225.410431
left14.jpg,1,5,408.172455,264.163574
left14.jpg,1,6,412.590637,301.508118
